Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,33.79,4.5,"1.78,25.7",15.41,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,130.283,0.15,"",15.41,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,21.458,6.59,"1.60,60.7",13.04,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,349.306,1.3,"1.78,25.7",13.04,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,14.989,6.97,"",9.89,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,Inf,6.03,"",9.4235,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,-15.134,1.65,"1.73,28.5",10.46,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,-490.538,5.6,"1.81,41.0",12.09,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,-20.316,0.15,"",12.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,246.577,3.23,"1.81,41.0",13.07,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,-48.685,37.86,"",13.07,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,Inf,Inf,"",21.6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
